step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,23.669837951660156,22.89112663269043,0.0,0.0,0.0,0.0,7.787120342254639,0.057971014492753624,0.014492753623188406,69,28.36701089364511,27.58836684992284,0.0,0.0,0.0,0.0,7.786441991358627,0.08641975308641975,0.04938271604938271,162
500,4.855166435241699,4.840043544769287,0.0,0.0,0.0,0.0,0.15122713148593903,0.028985507246376812,0.057971014492753624,69,12.214242511325413,12.179222695621444,0.0,0.0,0.0,0.0,0.3501974638597465,0.04938271604938271,0.06172839506172839,162
1000,3.2225663661956787,3.2134690284729004,0.0,0.0,0.0,0.0,0.0909733921289444,0.14492753623188406,0.14492753623188406,69,12.906539210566768,12.845702253741983,0.0,0.0,0.0,0.0,0.6083722143997381,0.08024691358024691,0.08641975308641975,162
1500,2.3863348960876465,2.3798370361328125,0.0,0.0,0.0,0.0,0.06497861444950104,0.2318840579710145,0.18840579710144928,69,14.870672626259886,14.816837475623613,0.0,0.0,0.0,0.0,0.5383533106909858,0.06790123456790123,0.06790123456790123,162
2000,1.9811517000198364,1.9759221076965332,0.0,0.0,0.0,0.0,0.05229629576206207,0.2318840579710145,0.2318840579710145,69,14.46348089053307,14.381478721712842,0.0,0.0,0.0,0.0,0.8200211731004127,0.030864197530864196,0.043209876543209874,162
2500,2.3467037677764893,2.3398499488830566,0.0,0.0,0.0,0.0,0.06853920966386795,0.17391304347826086,0.15942028985507245,69,15.429005446257415,15.30853408059956,0.0,0.0,0.0,0.0,1.2047144365899356,0.04938271604938271,0.037037037037037035,162
3000,1.7548573017120361,1.741837501525879,0.0,0.0,0.0,0.0,0.13019858300685883,0.2898550724637681,0.2608695652173913,69,15.86142709520128,15.717166641612112,0.0,0.0,0.0,0.0,1.4426008624795041,0.05555555555555555,0.05555555555555555,162
3500,1.5949201583862305,1.5902924537658691,0.0,0.0,0.0,0.0,0.04627691209316254,0.3333333333333333,0.30434782608695654,69,15.046655160409433,14.960245603396569,0.0,0.0,0.0,0.0,0.8640960307768834,0.07407407407407407,0.08024691358024691,162
4000,1.59412682056427,1.5869678258895874,0.0,0.0,0.0,0.0,0.07158973067998886,0.3188405797101449,0.2318840579710145,69,15.36140274707182,15.250826329360773,0.0,0.0,0.0,0.0,1.105767129380026,0.08024691358024691,0.08641975308641975,162
4500,1.4979281425476074,1.4862086772918701,0.0,0.0,0.0,0.0,0.11719435453414917,0.37681159420289856,0.34782608695652173,69,15.259873613899137,15.063040603826076,0.0,0.0,0.0,0.0,1.9683282110426161,0.030864197530864196,0.037037037037037035,162
5000,3.2707271575927734,3.263948440551758,0.0,0.0,0.0,0.0,0.06778642535209656,0.2318840579710145,0.2318840579710145,69,14.011597668683088,13.926129282256703,0.0,0.0,0.0,0.0,0.8546837671303454,0.08024691358024691,0.07407407407407407,162
