step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,34.67538955820587,26.233944211687362,33.91539673578171,0.0,0.0,0.0,7.599936491483218,0.06060606060606061,0.03896103896103896,231,34.710161085252636,26.26693110445361,33.95015244256882,0.0,0.0,0.0,7.600071690299294,0.030303030303030304,0.03896103896103896,231
500,7.841324517221162,7.785153145397897,7.837881241009865,0.0,0.0,0.0,0.03443350982388635,0.03463203463203463,0.03463203463203463,231,7.7716287720255,7.701797683517654,7.768202633052677,0.0,0.0,0.0,0.03425999265567307,0.03463203463203463,0.03463203463203463,231
1000,7.737859428703011,7.749648990053119,7.734516977747798,0.0,0.0,0.0,0.033423864399586924,0.03896103896103896,0.030303030303030304,231,7.721566769983862,7.748330941964022,7.7182728119226764,0.0,0.0,0.0,0.03294068042721067,0.04329004329004329,0.047619047619047616,231
1500,6.597981793539865,6.515923958320122,6.595561324775993,0.0,0.0,0.0,0.02420530394848549,0.05194805194805195,0.05627705627705628,231,6.637037853141884,6.593404204298407,6.634698359997241,0.0,0.0,0.0,0.02339463403601667,0.03463203463203463,0.03896103896103896,231
2000,5.633328132299118,5.622565465572077,5.631172793252127,0.0,0.0,0.0,0.021554397991596363,0.05627705627705628,0.05627705627705628,231,5.964381736078304,5.97769612564153,5.96231644700616,0.0,0.0,0.0,0.020653122907012572,0.03463203463203463,0.05627705627705628,231
2500,5.141815233024168,5.12632214971435,5.1387300346836895,0.0,0.0,0.0,0.030851113267275163,0.0735930735930736,0.06060606060606061,231,5.6877900367175345,5.697211218086672,5.684662362713834,0.0,0.0,0.0,0.03127732173059926,0.05627705627705628,0.06926406926406926,231
3000,4.342197680370116,4.3260139242395175,4.339143082176968,0.0,0.0,0.0,0.03054759314372426,0.10822510822510822,0.08658008658008658,231,5.33484918420965,5.301239531793636,5.331698659178499,0.0,0.0,0.0,0.03150581763613792,0.09523809523809523,0.0735930735930736,231
