step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,60.1680880790149,26.233944211687362,33.934144717790346,0.0,0.0,0.0,7.778456322558514,0.06060606060606061,0.03896103896103896,231,60.2356855714476,26.26693110445361,33.9687553174568,0.0,0.0,0.0,7.7786905507504684,0.030303030303030304,0.03896103896103896,231
500,15.670820731621284,7.832023789872339,7.8387966775274895,0.0,0.0,0.0,0.050320249228250416,0.030303030303030304,0.030303030303030304,231,15.494508850626099,7.718412217639742,7.776096207754953,0.0,0.0,0.0,0.05003926659494767,0.025974025974025976,0.025974025974025976,231
1000,15.45108210576045,7.742695676299917,7.708386429460534,0.0,0.0,0.0,0.04863589985933139,0.03463203463203463,0.030303030303030304,231,15.499117640705851,7.782543525035247,7.716573851449149,0.0,0.0,0.0,0.04762898138784743,0.047619047619047616,0.047619047619047616,231
1500,13.180621035687334,6.586087604621788,6.594533166844092,0.0,0.0,0.0,0.04499072204162548,0.05627705627705628,0.06493506493506493,231,13.354306291192126,6.658932890210833,6.695373136759836,0.0,0.0,0.0,0.045769502574102186,0.05194805194805195,0.06060606060606061,231
2000,11.450841296802867,5.726034880716563,5.724806151864849,0.0,0.0,0.0,0.02886678862236279,0.0735930735930736,0.07792207792207792,231,12.101978310258874,6.016142597446194,6.085835235975521,0.0,0.0,0.0,0.04959528138498207,0.05194805194805195,0.06060606060606061,231
2500,10.390345049110842,5.177884500264089,5.212460548846753,0.0,0.0,0.0,0.036623050624028944,0.11255411255411256,0.09523809523809523,231,11.486251422337123,5.727467256190973,5.758783901924695,0.0,0.0,0.0,0.04705214881019675,0.07792207792207792,0.08658008658008658,231
3000,8.796154501118185,4.36392659026307,4.432227434017958,0.0,0.0,0.0,0.07826323339562395,0.0735930735930736,0.06926406926406926,231,11.105041371795522,5.5259040547655776,5.579137317029945,0.0,0.0,0.0,0.08572745977929144,0.047619047619047616,0.05194805194805195,231
