step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,26.313853135872712,26.233944211687362,0.0,0.0,0.0,0.0,7.990962705570898,0.06060606060606061,0.03896103896103896,231,26.346843612142454,26.26693110445361,0.0,0.0,0.0,0.0,7.991263476285067,0.030303030303030304,0.03896103896103896,231
500,7.999483112648968,7.915298201821067,0.0,0.0,0.0,0.0,8.418506116578072,0.03463203463203463,0.03463203463203463,231,7.891054822252943,7.806394543998685,0.0,0.0,0.0,0.0,8.466047780338304,0.030303030303030304,0.030303030303030304,231
1000,7.791126750764393,7.761868939255223,0.0,0.0,0.0,0.0,2.9258071075786245,0.03463203463203463,0.030303030303030304,231,7.855821176008745,7.8260618804337145,0.0,0.0,0.0,0.0,2.975943994728518,0.04329004329004329,0.030303030303030304,231
1500,6.619083002016142,6.579503032552215,0.0,0.0,0.0,0.0,3.9579962073982538,0.05627705627705628,0.05627705627705628,231,6.649763619228875,6.610467760077802,0.0,0.0,0.0,0.0,3.929573745438547,0.04329004329004329,0.047619047619047616,231
2000,5.784809589385986,5.733954989032828,0.0,0.0,0.0,0.0,5.0854403363677845,0.0735930735930736,0.06926406926406926,231,6.207479741150166,6.156625223366213,0.0,0.0,0.0,0.0,5.085442336606773,0.05194805194805195,0.06060606060606061,231
2500,5.469696779787799,5.419540863532524,0.0,0.0,0.0,0.0,5.015595956282183,0.08658008658008658,0.09090909090909091,231,6.124785371673055,6.074407352513565,0.0,0.0,0.0,0.0,5.037816640102502,0.09523809523809523,0.09523809523809523,231
3000,4.782107400687742,4.736744459573325,0.0,0.0,0.0,0.0,4.536286965077058,0.11255411255411256,0.08658008658008658,231,5.937109945140359,5.8912170893186095,0.0,0.0,0.0,0.0,4.589299268020696,0.08225108225108226,0.07792207792207792,231
