step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,23.529783232387526,23.529783232387526,0.0,0.0,0.0,0.0,8.172300842417267,0.06493506493506493,0.06926406926406926,231,23.56599000212434,23.56599000212434,0.0,0.0,0.0,0.0,8.172992495747355,0.07792207792207792,0.06926406926406926,231
500,8.097277781664035,8.097277781664035,0.0,0.0,0.0,0.0,3126.323747378923,0.04329004329004329,0.03896103896103896,231,8.141208628039339,8.141208628039339,0.0,0.0,0.0,0.0,3130.0794461072783,0.03896103896103896,0.03896103896103896,231
1000,8.337720334271848,8.337720334271848,0.0,0.0,0.0,0.0,4205.171359239718,0.03463203463203463,0.03463203463203463,231,8.638918509214987,8.638918509214987,0.0,0.0,0.0,0.0,4202.041446834415,0.03896103896103896,0.04329004329004329,231
1500,8.750015523010518,8.750015523010518,0.0,0.0,0.0,0.0,5207.6097808441555,0.025974025974025976,0.047619047619047616,231,8.77911158144732,8.77911158144732,0.0,0.0,0.0,0.0,5167.165947984307,0.021645021645021644,0.05194805194805195,231
2000,10.305543614672375,10.305543614672375,0.0,0.0,0.0,0.0,20490.1502637987,0.05194805194805195,0.06060606060606061,231,9.764827439279268,9.764827439279268,0.0,0.0,0.0,0.0,20299.231711647728,0.047619047619047616,0.047619047619047616,231
2500,7.940001735439548,7.940001735439548,0.0,0.0,0.0,0.0,39001.344899891774,0.06493506493506493,0.10822510822510822,231,8.096852389248935,8.096852389248935,0.0,0.0,0.0,0.0,38702.26834753788,0.06926406926406926,0.08658008658008658,231
3000,7.915967520181235,7.915967520181235,0.0,0.0,0.0,0.0,83263.9150094697,0.09956709956709957,0.11255411255411256,231,8.56612404084309,8.56612404084309,0.0,0.0,0.0,0.0,82752.65936147186,0.08225108225108226,0.08658008658008658,231
