step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,3.1244360523306445,20.78864810993145,0.0,3.1244360523306445,0.0,0.0,0.0,0.09956709956709957,0.09090909090909091,231,3.121815705196166,20.9341828234784,0.0,3.121815705196166,0.0,0.0,0.0,0.09956709956709957,0.08225108225108226,231
200,2.352826886362844,14.3556712798742,0.0,2.352826886362844,0.0,0.0,0.0,0.24675324675324675,0.2683982683982684,231,2.452597567529389,12.36553294524486,0.0,2.452597567529389,0.0,0.0,0.0,0.27705627705627706,0.2813852813852814,231
400,1.9535054670267806,11.87191917369892,0.0,1.9535054670267806,0.0,0.0,0.0,0.30303030303030304,0.3203463203463203,231,1.934386673943821,10.437323553737624,0.0,1.934386673943821,0.0,0.0,0.0,0.36363636363636365,0.3463203463203463,231
600,1.762920693917708,9.543748797792377,0.0,1.762920693917708,0.0,0.0,0.0,0.38961038961038963,0.42424242424242425,231,1.7646475839408444,8.111364950865378,0.0,1.7646475839408444,0.0,0.0,0.0,0.4025974025974026,0.4329004329004329,231
800,1.6176073953702852,8.234182737606428,0.0,1.6176073953702852,0.0,0.0,0.0,0.44155844155844154,0.4458874458874459,231,1.6980892631398652,8.47330277513116,0.0,1.6980892631398652,0.0,0.0,0.0,0.38095238095238093,0.42857142857142855,231
1000,1.4744999666750689,6.112030473106351,0.0,1.4744999666750689,0.0,0.0,0.0,0.46320346320346323,0.5194805194805194,231,1.5214386063736756,6.430552523889583,0.0,1.5214386063736756,0.0,0.0,0.0,0.43722943722943725,0.5021645021645021,231
