step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,30.84346695276566,23.92117266634326,30.84346695276566,0.0,0.0,0.0,7.14087234637438,0.06493506493506493,0.06926406926406926,231,30.873216554716034,23.942935250022195,30.873216554716034,0.0,0.0,0.0,7.140722307807955,0.07792207792207792,0.06926406926406926,231
500,8.072896911984397,8.03511567549272,8.072896911984397,0.0,0.0,0.0,0.10079221656441173,0.030303030303030304,0.03896103896103896,231,8.00941125448648,7.9487958511748875,8.00941125448648,0.0,0.0,0.0,0.10152130603016198,0.025974025974025976,0.04329004329004329,231
1000,7.853247035633434,7.87264651343936,7.853247035633434,0.0,0.0,0.0,0.03206655957224049,0.0735930735930736,0.06060606060606061,231,7.9664485774515,7.989794219211066,7.9664485774515,0.0,0.0,0.0,0.031942374197951644,0.06060606060606061,0.06060606060606061,231
1500,6.2738002595447355,6.261019902827936,6.2738002595447355,0.0,0.0,0.0,0.04091823047825268,0.06926406926406926,0.06926406926406926,231,6.656485805263767,6.632667929579169,6.656485805263767,0.0,0.0,0.0,0.04568894491309211,0.07792207792207792,0.06926406926406926,231
2000,5.314953306536654,5.258943186177836,5.314953306536654,0.0,0.0,0.0,0.02392533886774536,0.07792207792207792,0.06926406926406926,231,6.0197978453202685,5.989329637387098,6.0197978453202685,0.0,0.0,0.0,0.025132510319223134,0.05627705627705628,0.06060606060606061,231
2500,4.422555574607023,4.446218915831991,4.422555574607023,0.0,0.0,0.0,0.024633221562097084,0.11255411255411256,0.11255411255411256,231,5.549428721010943,5.5934441492155,5.549428721010943,0.0,0.0,0.0,0.028851460036519287,0.09090909090909091,0.08658008658008658,231
3000,4.0740853449999,4.032700618108113,4.0740853449999,0.0,0.0,0.0,0.027754866070561594,0.09956709956709957,0.1038961038961039,231,5.124828363393808,5.112702452259146,5.124828363393808,0.0,0.0,0.0,0.030349463788848934,0.09523809523809523,0.08658008658008658,231
