step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,30.97597312927246,30.18047332763672,0.0,0.0,0.0,0.0,7.954999923706055,0.043478260869565216,0.0,23,26.506913551917442,25.711883544921875,0.0,0.0,0.0,0.0,7.950296512016883,0.0673076923076923,0.04326923076923077,208
500,4.203707218170166,4.1759748458862305,0.0,0.0,0.0,0.0,0.27732333540916443,0.13043478260869565,0.13043478260869565,23,17.361424079308144,17.261144784780647,0.0,0.0,0.0,0.0,1.0027933029028087,0.03365384615384615,0.028846153846153848,208
1000,2.275371789932251,2.2489023208618164,0.0,0.0,0.0,0.0,0.2646954655647278,0.13043478260869565,0.08695652173913043,23,21.173337642963116,20.74914242671086,0.0,0.0,0.0,0.0,4.241959498478816,0.028846153846153848,0.03365384615384615,208
1500,1.9076073169708252,1.8937766551971436,0.0,0.0,0.0,0.0,0.1383071392774582,0.2608695652173913,0.08695652173913043,23,20.142810968252327,19.311302185058594,0.0,0.0,0.0,0.0,8.315083870520958,0.028846153846153848,0.019230769230769232,208
2000,1.8676626682281494,1.8555556535720825,0.0,0.0,0.0,0.0,0.12106963992118835,0.13043478260869565,0.043478260869565216,23,20.462073692908653,19.503056306105393,0.0,0.0,0.0,0.0,9.590174454909105,0.03365384615384615,0.02403846153846154,208
2500,1.2622220516204834,1.252831220626831,0.0,0.0,0.0,0.0,0.09390782564878464,0.34782608695652173,0.391304347826087,23,20.282201033372147,19.271998918973484,0.0,0.0,0.0,0.0,10.102016375615047,0.028846153846153848,0.02403846153846154,208
3000,0.7490493655204773,0.7336474061012268,0.0,0.0,0.0,0.0,0.1540197879076004,0.5217391304347826,0.5652173913043478,23,21.13639596792368,19.974921740018406,0.0,0.0,0.0,0.0,11.614736557006836,0.02403846153846154,0.028846153846153848,208
3500,0.5696125626564026,0.5606892108917236,0.0,0.0,0.0,0.0,0.08923331648111343,0.391304347826087,0.43478260869565216,23,21.171636287982647,19.701368185190056,0.0,0.0,0.0,0.0,14.702675672677847,0.028846153846153848,0.028846153846153848,208
4000,0.126181960105896,0.11859914660453796,0.0,0.0,0.0,0.0,0.07582806795835495,0.7391304347826086,0.6086956521739131,23,23.289203056922325,19.829336166381836,0.0,0.0,0.0,0.0,34.598674480731674,0.038461538461538464,0.038461538461538464,208
4500,0.1711728721857071,0.16473500430583954,0.0,0.0,0.0,0.0,0.06437861919403076,0.43478260869565216,0.43478260869565216,23,23.28439683180589,19.425860184889572,0.0,0.0,0.0,0.0,38.58537292480469,0.028846153846153848,0.04326923076923077,208
5000,0.08117005974054337,0.07681328803300858,0.0,0.0,0.0,0.0,0.043567683547735214,0.7391304347826086,0.6086956521739131,23,24.10959067711463,19.390173251812275,0.0,0.0,0.0,0.0,47.19417865459736,0.038461538461538464,0.038461538461538464,208
