step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,30.959383010864258,30.18047332763672,0.0,0.0,0.0,0.0,7.789088726043701,0.043478260869565216,0.0,23,26.490801591139572,25.711883544921875,0.0,0.0,0.0,0.0,7.789189045245831,0.0673076923076923,0.04326923076923077,208
500,3.2385518550872803,3.2134950160980225,0.0,0.0,0.0,0.0,0.25056883692741394,0.13043478260869565,0.13043478260869565,23,20.839122772216797,20.651286932138298,0.0,0.0,0.0,0.0,1.8783652415642371,0.038461538461538464,0.02403846153846154,208
1000,2.0842278003692627,2.066464424133301,0.0,0.0,0.0,0.0,0.17763321101665497,0.08695652173913043,0.043478260869565216,23,22.23394540640024,20.865713119506836,0.0,0.0,0.0,0.0,13.682323565849892,0.052884615384615384,0.04807692307692308,208
1500,1.644079566001892,1.6364589929580688,0.0,0.0,0.0,0.0,0.0762055441737175,0.08695652173913043,0.13043478260869565,23,19.617845681997444,18.994038361769455,0.0,0.0,0.0,0.0,6.23806986441979,0.009615384615384616,0.009615384615384616,208
2000,1.121928334236145,1.1121195554733276,0.0,0.0,0.0,0.0,0.09808783233165741,0.2608695652173913,0.2608695652173913,23,21.60974517235389,20.25305439875676,0.0,0.0,0.0,0.0,13.566904508150541,0.038461538461538464,0.03365384615384615,208
2500,0.3256303668022156,0.3144854009151459,0.0,0.0,0.0,0.0,0.11144974082708359,0.5652173913043478,0.4782608695652174,23,22.500278913057766,19.305875924917366,0.0,0.0,0.0,0.0,31.94402636014498,0.03365384615384615,0.028846153846153848,208
3000,0.06911931931972504,0.064127117395401,0.0,0.0,0.0,0.0,0.04992203041911125,0.5652173913043478,0.34782608695652173,23,23.01542487511268,18.885638016920822,0.0,0.0,0.0,0.0,41.29786594097431,0.04326923076923077,0.04326923076923077,208
3500,0.012973383069038391,0.01086338423192501,0.0,0.0,0.0,0.0,0.021099984645843506,0.9130434782608695,0.6956521739130435,23,22.368689903846153,18.982908102182243,0.0,0.0,0.0,0.0,33.85781478881836,0.028846153846153848,0.028846153846153848,208
4000,0.05053720995783806,0.04584914818406105,0.0,0.0,0.0,0.0,0.04688061773777008,0.8260869565217391,0.6521739130434783,23,23.43976593017578,19.027658462524414,0.0,0.0,0.0,0.0,44.12107819777269,0.04326923076923077,0.04326923076923077,208
4500,0.000426700891694054,1.038933808734745e-19,0.0,0.0,0.0,0.0,0.004267008975148201,1.0,0.6521739130434783,23,23.652719644399788,19.094475526076096,0.0,0.0,0.0,0.0,45.58243487431453,0.04807692307692308,0.052884615384615384,208
5000,0.0001667855540290475,1.3177994476547713e-20,0.0,0.0,0.0,0.0,0.001667855540290475,1.0,0.6521739130434783,23,23.65073013305664,19.097107373751125,0.0,0.0,0.0,0.0,45.53621790959285,0.04807692307692308,0.052884615384615384,208
