step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,26.233944211687362,26.233944211687362,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.03896103896103896,231,26.26693110445361,26.26693110445361,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.03896103896103896,231
500,8.838427229877158,8.838427229877158,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.025974025974025976,231,8.779186389146945,8.779186389146945,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.025974025974025976,231
1000,9.485518154127773,9.485518154127773,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.06060606060606061,231,9.33820999855603,9.33820999855603,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.05627705627705628,231
1500,8.579828823799694,8.579828823799694,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.06926406926406926,231,8.412687644297943,8.412687644297943,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.06493506493506493,231
1501,16.906650584497495,16.906650584497495,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,231,17.164746969809265,17.164746969809265,0.0,0.0,0.0,0.0,0.0,0.021645021645021644,0.030303030303030304,231
2000,9.075081296813437,9.075081296813437,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.05627705627705628,231,8.99383055699336,8.99383055699336,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.05194805194805195,231
2500,8.583656170667508,8.583656170667508,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.06493506493506493,231,8.481577386071672,8.481577386071672,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.06060606060606061,231
3000,12.632556229958803,12.632556229958803,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.05194805194805195,231,11.93855165093492,11.93855165093492,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.05627705627705628,231
3500,8.50701870443501,8.50701870443501,0.0,0.0,0.0,0.0,0.0,0.08225108225108226,0.08658008658008658,231,8.314399570613713,8.314399570613713,0.0,0.0,0.0,0.0,0.0,0.07792207792207792,0.0735930735930736,231
4000,10.865768539957154,10.865768539957154,0.0,0.0,0.0,0.0,0.0,0.05627705627705628,0.06926406926406926,231,9.84700481612961,9.84700481612961,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.06493506493506493,231
4500,6.954672891856272,6.954672891856272,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.10822510822510822,231,6.302961619901451,6.302961619901451,0.0,0.0,0.0,0.0,0.0,0.08658008658008658,0.09523809523809523,231
5000,7.719788860965084,7.719788860965084,0.0,0.0,0.0,0.0,0.0,0.1038961038961039,0.11688311688311688,231,7.247039894004921,7.247039894004921,0.0,0.0,0.0,0.0,0.0,0.1038961038961039,0.1038961038961039,231
