step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,23.68570327758789,22.89112663269043,0.0,0.0,0.0,0.0,7.945772647857666,0.057971014492753624,0.014492753623188406,69,28.383007143750604,27.58836684992284,0.0,0.0,0.0,0.0,7.946402432006082,0.08641975308641975,0.04938271604938271,162
500,5.3401689529418945,5.3169426918029785,0.0,0.0,0.0,0.0,0.23226284980773926,0.028985507246376812,0.014492753623188406,69,11.370991494920519,11.332538522320029,0.0,0.0,0.0,0.0,0.3845300023202543,0.037037037037037035,0.030864197530864196,162
1000,3.8041577339172363,3.7868475914001465,0.0,0.0,0.0,0.0,0.17310138046741486,0.11594202898550725,0.11594202898550725,69,13.379193623860678,13.321148248366368,0.0,0.0,0.0,0.0,0.5804531397642912,0.06790123456790123,0.06172839506172839,162
1500,2.934532403945923,2.9198317527770996,0.0,0.0,0.0,0.0,0.14700712263584137,0.18840579710144928,0.14492753623188406,69,13.79569896650903,13.742574362107264,0.0,0.0,0.0,0.0,0.5312483222396286,0.04938271604938271,0.04938271604938271,162
2000,2.3603219985961914,2.3494985103607178,0.0,0.0,0.0,0.0,0.10823564231395721,0.17391304347826086,0.13043478260869565,69,13.862579910843461,13.836533581769025,0.0,0.0,0.0,0.0,0.260464988372944,0.04938271604938271,0.06172839506172839,162
2500,2.455336093902588,2.4456615447998047,0.0,0.0,0.0,0.0,0.0967458188533783,0.2753623188405797,0.21739130434782608,69,15.209830201702353,15.159652262558172,0.0,0.0,0.0,0.0,0.5017765201168296,0.05555555555555555,0.08641975308641975,162
3000,2.0590837001800537,2.0514090061187744,0.0,0.0,0.0,0.0,0.07674591988325119,0.36231884057971014,0.30434782608695654,69,15.146003487669391,15.07506290482886,0.0,0.0,0.0,0.0,0.7094076386204472,0.06790123456790123,0.06172839506172839,162
3500,1.9147142171859741,1.9069766998291016,0.0,0.0,0.0,0.0,0.07737556844949722,0.2753623188405797,0.2753623188405797,69,15.847234890784746,15.65422135812265,0.0,0.0,0.0,0.0,1.9301351146933474,0.08024691358024691,0.07407407407407407,162
4000,1.8118518590927124,1.8046329021453857,0.0,0.0,0.0,0.0,0.07218983769416809,0.34782608695652173,0.3188405797101449,69,15.68383836157528,15.33502310293692,0.0,0.0,0.0,0.0,3.4881530808813777,0.07407407407407407,0.08641975308641975,162
4500,1.638655424118042,1.6318378448486328,0.0,0.0,0.0,0.0,0.06817635148763657,0.3333333333333333,0.3188405797101449,69,16.54556182578758,15.90087306646653,0.0,0.0,0.0,0.0,6.446884202368466,0.06172839506172839,0.07407407407407407,162
5000,1.7856638431549072,1.7763464450836182,0.0,0.0,0.0,0.0,0.0931735709309578,0.2463768115942029,0.21739130434782608,69,15.806917449574412,15.508478635623131,0.0,0.0,0.0,0.0,2.9843885986893266,0.06172839506172839,0.06172839506172839,162
