run_name,is_key_run,note,config_path,metrics_path,num_metric_rows,final_step,train_count,eval_count,best_train_number_step,best_train_number_accuracy,best_train_code_step,best_train_code_accuracy,best_eval_number_step,best_eval_number_accuracy,best_eval_code_step,best_eval_code_accuracy,best_eval_loss_step,best_eval_loss,final_train_number_accuracy,final_train_code_accuracy,final_eval_number_accuracy,final_eval_code_accuracy,final_eval_loss
dvq_fixed_raw1_vq1_c0_lr1e4_3000_20260623,yes,Direct VQ-Plus raw-target sweep.,runs/dvq_fixed_raw1_vq1_c0_lr1e4_3000_20260623/config.yaml,runs/dvq_fixed_raw1_vq1_c0_lr1e4_3000_20260623/metrics.csv,7,3000,231,231,2500,0.09523809523809523,2500,0.11255411255411256,2500,0.08658008658008658,2500,0.07792207792207792,3000,11.105041371795522,0.06926406926406926,0.0735930735930736,0.05194805194805195,0.047619047619047616,11.105041371795522
fixed_codes_ce_lr1e3_5000,no,,runs/fixed_codes_ce_lr1e3_5000/config.yaml,runs/fixed_codes_ce_lr1e3_5000/metrics.csv,11,5000,69,162,5000,0.2028985507246377,4500,0.15942028985507245,3000,0.08024691358024691,3000,0.06790123456790123,1000,6.326078356048207,0.2028985507246377,0.15942028985507245,0.08024691358024691,0.06790123456790123,9.631026362195428
fixed_codes_ce_nosymm_5000,no,,runs/fixed_codes_ce_nosymm_5000/config.yaml,runs/fixed_codes_ce_nosymm_5000/metrics.csv,11,5000,69,162,4000,0.15942028985507245,4000,0.17391304347826086,2500,0.05555555555555555,1,0.08641975308641975,1000,6.424256424845001,0.15942028985507245,0.14492753623188406,0.04938271604938271,0.04938271604938271,7.5944779831686136
fixed_codes_code_logits_5000,no,,runs/fixed_codes_code_logits_5000/config.yaml,runs/fixed_codes_code_logits_5000/metrics.csv,11,5000,69,162,1500,0.7246376811594203,1500,0.8840579710144928,1000,0.06790123456790123,1000,0.06172839506172839,1,3.2456899631170577,0.6666666666666666,0.855072463768116,0.043209876543209874,0.037037037037037035,34.59983962259175
fixed_codes_nosymm_5000,no,,runs/fixed_codes_nosymm_5000/config.yaml,runs/fixed_codes_nosymm_5000/metrics.csv,11,5000,69,162,5000,0.10144927536231885,5000,0.10144927536231885,4500,0.07407407407407407,1,0.08641975308641975,500,10.494556580060793,0.10144927536231885,0.10144927536231885,0.06172839506172839,0.05555555555555555,15.390283278477044
identity_nosymm_h2048_l3_1000,no,,runs/identity_nosymm_h2048_l3_1000/config.yaml,runs/identity_nosymm_h2048_l3_1000/metrics.csv,6,1000,69,162,200,0.10144927536231885,1000,0.08695652173913043,400,0.05555555555555555,1,0.08641975308641975,200,11.50571275640417,0.07246376811594203,0.08695652173913043,0.037037037037037035,0.030864197530864196,13.074583477444119
identity_nosymm_lr1e3_1000,no,,runs/identity_nosymm_lr1e3_1000/config.yaml,runs/identity_nosymm_lr1e3_1000/metrics.csv,6,1000,69,162,1,0.08695652173913043,800,0.11594202898550725,1,0.06790123456790123,1,0.05555555555555555,800,12.327630855419018,0.057971014492753624,0.07246376811594203,0.030864197530864196,0.024691358024691357,12.599666595458984
lf_direct_vq_plus_mse_ste_5000_20260622,yes,Direct VQ-Plus full-table baseline.,runs/lf_direct_vq_plus_mse_ste_5000_20260622/config.yaml,runs/lf_direct_vq_plus_mse_ste_5000_20260622/metrics.csv,12,5000,231,231,5000,0.11688311688311688,5000,0.1038961038961039,5000,0.1038961038961039,5000,0.1038961038961039,4500,6.302961619901451,0.11688311688311688,0.1038961038961039,0.1038961038961039,0.1038961038961039,7.247039894004921
lf_learned_d2_recon_mse_ste_200_20260621,yes,Learned projector d=2 recon+MSE+STE screen.,runs/lf_learned_d2_recon_mse_ste_200_20260621/config.yaml,runs/lf_learned_d2_recon_mse_ste_200_20260621/metrics.csv,3,200,231,231,1,0.03896103896103896,1,0.06060606060606061,1,0.03896103896103896,200,0.03463203463203463,200,7.891965643152014,0.025974025974025976,0.025974025974025976,0.030303030303030304,0.03463203463203463,7.891965643152014
lf_learned_d4_recon_mse_ste_200_20260621,yes,Learned projector d=4 recon+MSE+STE screen.,runs/lf_learned_d4_recon_mse_ste_200_20260621/config.yaml,runs/lf_learned_d4_recon_mse_ste_200_20260621/metrics.csv,3,200,231,231,100,0.05627705627705628,1,0.06060606060606061,100,0.05627705627705628,100,0.05194805194805195,200,7.901331096500545,0.04329004329004329,0.04329004329004329,0.05194805194805195,0.05194805194805195,7.901331096500545
