step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,26.473470299790947,26.233944211687362,0.0,0.0,0.0,0.0,7.98420169343164,0.06060606060606061,0.03896103896103896,231,26.50646582929603,26.26693110445361,0.0,0.0,0.0,0.0,7.98449402557307,0.030303030303030304,0.03896103896103896,231
500,7.921310887192234,7.881562798570245,0.0,0.0,0.0,0.0,1.3249301652371626,0.03463203463203463,0.03463203463203463,231,7.892653927658543,7.852670413591129,0.0,0.0,0.0,0.0,1.3327793703450785,0.030303030303030304,0.030303030303030304,231
1000,7.70514863084405,7.694295226753532,0.0,0.0,0.0,0.0,0.3617857134703434,0.04329004329004329,0.03463203463203463,231,7.764657041211149,7.753887585231236,0.0,0.0,0.0,0.0,0.3589891123049187,0.030303030303030304,0.030303030303030304,231
1500,6.590271629812397,6.565140592071401,0.0,0.0,0.0,0.0,0.8377049214396126,0.06060606060606061,0.06926406926406926,231,6.607675112687148,6.583336196420513,0.0,0.0,0.0,0.0,0.8112954902442503,0.05194805194805195,0.05627705627705628,231
2000,5.7468493222158195,5.716570777810497,0.0,0.0,0.0,0.0,1.0092838739419911,0.07792207792207792,0.06493506493506493,231,6.187398953871294,6.15737973250352,0.0,0.0,0.0,0.0,1.0006405935659037,0.05627705627705628,0.06493506493506493,231
2500,5.247103982157522,5.223313098346,0.0,0.0,0.0,0.0,0.7930341574536773,0.11688311688311688,0.10822510822510822,231,6.128984950837635,6.104202592527711,0.0,0.0,0.0,0.0,0.8260785831517471,0.09956709956709957,0.08658008658008658,231
3000,4.572277723452745,4.54798242643282,0.0,0.0,0.0,0.0,0.8098416684509872,0.06493506493506493,0.05194805194805195,231,5.779215447314374,5.754243861029159,0.0,0.0,0.0,0.0,0.8323941057894653,0.05627705627705628,0.05194805194805195,231
