step,train_loss,train_plus_loss,train_raw_plus_loss,train_target_vq_ce_loss,train_projector_recon_loss,train_symmetry_loss,train_commit_loss,train_code_accuracy,train_number_accuracy,train_count,eval_loss,eval_plus_loss,eval_raw_plus_loss,eval_target_vq_ce_loss,eval_projector_recon_loss,eval_symmetry_loss,eval_commit_loss,eval_code_accuracy,eval_number_accuracy,eval_count
1,26.233944211687362,26.233944211687362,0.0,0.0,0.0,0.0,7.994652518978366,0.06060606060606061,0.03896103896103896,231,26.26693110445361,26.26693110445361,0.0,0.0,0.0,0.0,7.994949219030735,0.030303030303030304,0.03896103896103896,231
500,9.089019610252215,9.089019610252215,0.0,0.0,0.0,0.0,4584.312449269481,0.05627705627705628,0.025974025974025976,231,9.129546726936901,9.129546726936901,0.0,0.0,0.0,0.0,4588.42579393263,0.05194805194805195,0.021645021645021644,231
1000,8.19152442304603,8.19152442304603,0.0,0.0,0.0,0.0,6734.678262817912,0.021645021645021644,0.03463203463203463,231,8.233731187267221,8.233731187267221,0.0,0.0,0.0,0.0,6740.476866883117,0.025974025974025976,0.03896103896103896,231
1500,8.751298008543072,8.751298008543072,0.0,0.0,0.0,0.0,10948.85669051001,0.05627705627705628,0.06060606060606061,231,8.885640181504288,8.885640181504288,0.0,0.0,0.0,0.0,10931.427556818182,0.05194805194805195,0.05194805194805195,231
2000,7.812292738910362,7.812292738910362,0.0,0.0,0.0,0.0,18952.47428808171,0.04329004329004329,0.06060606060606061,231,7.934482669417476,7.934482669417476,0.0,0.0,0.0,0.0,18910.50563954275,0.047619047619047616,0.06060606060606061,231
2500,8.616360470330044,8.616360470330044,0.0,0.0,0.0,0.0,30236.697426271647,0.06493506493506493,0.07792207792207792,231,8.454582627201493,8.454582627201493,0.0,0.0,0.0,0.0,30065.9342870671,0.05627705627705628,0.06926406926406926,231
3000,16.871695060234565,16.871695060234565,0.0,0.0,0.0,0.0,40429.668104031385,0.030303030303030304,0.03896103896103896,231,17.48511164528983,17.48511164528983,0.0,0.0,0.0,0.0,40178.63673566018,0.025974025974025976,0.030303030303030304,231
